CITED4 (163732),CITED4
CKAP5 (9793),CKAP5
CKS1B (1163),CKS1B
CLASP1 (23332),CLASP1
CLASP2 (23122),CLASP2
CLCC1 (23155),CLCC1
CLK2 (1196),CLK2
CLNS1A (1207),CLNS1A
CLP1 (10978),CLP1
CLSPN (63967),CLSPN
CLTC (1213),CLTC
CMPK1 (51727),CMPK1
CMTR1 (23070),CMTR1
CNOT1 (23019),CNOT1
CNOT2 (4848),CNOT2
CNOT3 (4849),CNOT3
COA5 (493753),COA5
COG1 (9382),COG1
COG2 (22796),COG2
COG3 (83548),COG3
COG4 (25839),COG4
COG6 (57511),COG6
COG8 (84342),COG8
COIL (8161),COIL
COPA (1314),COPA
COPB1 (1315),COPB1
COPB2 (9276),COPB2
COPE (11316),COPE
COPG1 (22820),COPG1
COPG2 (26958),COPG2
COPS2 (9318),COPS2
COPS3 (8533),COPS3
COPS4 (51138),COPS4
COPS5 (10987),COPS5
COPS6 (10980),COPS6
COPS8 (10920),COPS8
COPZ1 (22818),COPZ1
COPZ2 (51226),COPZ2
COQ4 (51117),COQ4
COX11 (1353),COX11
COX17 (10063),COX17
COX20 (116228),COX20
COX5A (9377),COX5A
COX6A1 (1337),COX6A1
COX6B1 (1340),COX6B1
COX7B (1349),COX7B
CPSF1 (29894),CPSF1
CPSF2 (53981),CPSF2
CPSF3 (51692),CPSF3
CPSF4 (10898),CPSF4
CPSF6 (11052),CPSF6
CRCP (27297),CRCP
CRCT1 (54544),CRCT1
CRKL (1399),CRKL
CRLS1 (54675),CRLS1
CRNKL1 (51340),CRNKL1
CRYBG3 (131544),CRYBG3
CS (1431),CS
CSAG2 (102723547),CSAG2
CSE1L (1434),CSE1L
CSH2 (1443),CSH2
CSNK1A1 (1452),CSNK1A1
CSNK2B (1460),CSNK2B
CSNKA2IP (111064647),CSNKA2IP
CSTF1 (1477),CSTF1
CSTF3 (1479),CSTF3
CTAGE9 (643854),CTAGE9
CTCF (10664),CTCF
CTDNEP1 (23399),CTDNEP1
CTDP1 (9150),CTDP1
CTNNBL1 (56259),CTNNBL1
CTPS1 (1503),CTPS1
CTR9 (9646),CTR9
CTU2 (348180),CTU2
CUL1 (8454),CUL1
CUL2 (8453),CUL2
CUL3 (8452),CUL3
CWC15 (51503),CWC15
CWC22 (57703),CWC22
CWC25 (54883),CWC25
CWF19L2 (143884),CWF19L2
CYCS (54205),CYCS
DAD1 (1603),DAD1
DAP3 (7818),DAP3
DARS1 (1615),DARS1
DBF4 (10926),DBF4
DBR1 (51163),DBR1
DCAF1 (9730),DCAF1
DCAF13 (25879),DCAF13
DCAF7 (10238),DCAF7
DCLRE1B (64858),DCLRE1B
DCP1A (55802),DCP1A
DCP2 (167227),DCP2
DCTN2 (10540),DCTN2
DCTN3 (11258),DCTN3
DCTN4 (51164),DCTN4
DCTN5 (84516),DCTN5
DCTN6 (10671),DCTN6
DDA1 (79016),DDA1
DDB1 (1642),DDB1
DDOST (1650),DDOST
DDX10 (1662),DDX10
DDX11 (1663),DDX11
DDX18 (8886),DDX18
DDX20 (11218),DDX20
DDX21 (9188),DDX21
DDX23 (9416),DDX23
DDX24 (57062),DDX24
DDX27 (55661),DDX27
DDX39B (7919),DDX39B
DDX3X (1654),DDX3X
DDX41 (51428),DDX41
DDX42 (11325),DDX42
DDX46 (9879),DDX46
DDX47 (51202),DDX47
DDX49 (54555),DDX49
DDX5 (1655),DDX5
DDX51 (317781),DDX51
DDX52 (11056),DDX52
DDX54 (79039),DDX54
DDX55 (57696),DDX55
DDX56 (54606),DDX56
DDX59 (83479),DDX59
DDX6 (1656),DDX6
DENR (8562),DENR
