index,epsilon,pvalue,gene,product
NSG1_014392,0.5925236666666667,0.01801903841163949,NSG1,1.0335203014541492
RALGAPA1,0.41217516666666665,0.0031931439535987298,RALGAPA1,1.028699156598612
SCLT1,0.6207238333333333,0.02235023446224217,SCLT1,1.0246399529427797
CHD4,0.5055850000000001,0.009718793299940371,CHD4,1.0174330122424746
NTC_2598,0.6590038333333333,0.02887975147054777,NTC,1.0144748165060482
NTC_67,0.8039571666666666,0.05515403033667199,NTC,1.0117179856181202
CCDC144NL_P1,0.7331504999999999,0.04175123890969625,CCDC144NL,1.0112569431811178
MED13,0.4411143333333333,0.005146675118029266,MED13,1.0094783500680309
TMEM110-MUSTN1,0.7739171666666665,0.05105442104243762,TMEM110-MUSTN1,0.9998751648207954
NTC_2380,0.7802571666666667,0.05264192309273776,NTC,0.997690068691572
MAP2K6,0.41241666666666665,0.003913987032554104,MAP2K6,0.9928438896831272
TMEM253,0.5853738333333333,0.02122428388034692,TMEM253,0.979428153777708
GIGYF2,0.7863838333333332,0.058464700757819614,GIGYF2,0.9696948346003746
USP15,0.405085,0.004061373727574848,USP15,0.9686907159819778
KCP_P1,0.4687571666666666,0.008684280778643983,KCP,0.9662332771530888
RBM14-RBM4_P1,1.3254405,0.18717850211511236,RBM14-RBM4,0.9645814142581388
TSPAN31,0.4392663333333333,0.006836708781244043,TSPAN31,0.9510787838616166
CCDC6,0.3950930000000001,0.003943632603070246,CCDC6,0.9498444845178494
DCAF8L2,0.4281983333333333,0.006212197357883128,DCAF8L2,0.9449287083557478
PTPN12,0.3932333333333333,0.004013798379894498,PTPN12,0.9423618379126956
TIRAP,0.6070571666666666,0.028317662313976918,TIRAP,0.9396896498159776
ZEB1_P1,0.42329300000000003,0.00627287694272441,ZEB1,0.932316899410916
AHCY,0.38415333333333335,0.003913987032554104,AHCY,0.9248032888294336
RALGAPB,0.4509338333333333,0.00902338485449743,RALGAPB,0.9219930777886628
NTC_2773,0.8300171666666667,0.07905876920075777,NTC,0.9147203779409864
EYA4,0.4850676666666666,0.013129513926426459,EYA4,0.9127767374751656
CYBB,0.419805,0.0067492919568674144,CYBB,0.9112882550515984
OR4A15_ENST00000314706.3,0.4641103333333333,0.011100897120169291,OR4A15,0.90716951407848
MED12,0.3651209999999999,0.003361019651747005,MED12,0.903137363103288
MED23,0.39719766666666667,0.005405273894223717,MED23,0.9005195173743166
NTC_2125,0.7863405,0.07160963760014696,NTC,0.9003823021803664
H2AFZ,0.401765,0.0060840829941866,H2AFZ,0.8902328437085253
TMEM189,0.35635766666666663,0.0031931439535987298,TMEM189,0.8893908726042024
BICD1,0.3585176666666666,0.003361019651747005,BICD1,0.8868038269485374
SLC30A1,0.3579983333333333,0.003409845353912835,SLC30A1,0.8832768713908761
NTC_1002,0.6820271666666666,0.05082123392869956,NTC,0.8825123223424347
NTC_3230,0.8283238333333334,0.08806230077953174,NTC,0.8740555690081587
NTC_2068,0.7687904999999999,0.07321326424986906,NTC,0.8728925980262833
SSTR4,0.486687,0.016096422861979386,SSTR4,0.8727615017969129
CRAMP1L_P2,0.345691,0.003112104358221677,CRAMP1L,0.8666286172231202
RGR,0.8123403333333333,0.08733941431876763,RGR,0.8600975978925226
TCEB3,0.43587766666666666,0.010720872661339795,TCEB3,0.8585786914716125
CST2,0.39403766666666656,0.00672015373811315,CST2,0.8560944271959051
NTC_3148,0.7023871666666667,0.061173053980899825,NTC,0.8523045693146815
APAF1,0.38523966666666665,0.0061386247035353355,APAF1,0.852122758762119
GATAD2A_P1,0.3894616666666667,0.0067492919568674144,GATAD2A,0.8454207134887721
MAPK8,0.35740666666666665,0.0043272520625847015,MAPK8,0.8448335205911707
ANKRD13A,0.373035,0.0054785176483191774,ANKRD13A,0.8435578235441942
MED13L,0.3804343333333333,0.006252956183228893,MED13L,0.8384447871176589
MIA_P1,0.6285605,0.04656465929845712,MIA,0.8372071165306114
GATAD2A_P2,0.4788483333333333,0.01795747180509721,GATAD2A,0.8359517796337752
MEF2C,0.3944030000000001,0.007605319284124124,MEF2C,0.8356936338998098
AMELX,0.3590716666666667,0.004823970471726878,AMELX,0.8318237566359373
HIST2H2AC,0.4220816666666667,0.010728196135624144,HIST2H2AC,0.8312785708939903
ATF7IP_P1,0.32952099999999995,0.0030329441759510307,ATF7IP,0.8297785555096586
MLLT6,0.806053,0.0943980977660189,MLLT6,0.8262339532225328
SOX3,0.3542776666666666,0.0047797039475320005,SOX3,0.8221363998879682
NTC_2561,0.31795500000000004,0.002670044550094505,NTC,0.8182513078862451
SUPT20H,0.4824103333333333,0.020139890656522788,SUPT20H,0.8181403756738382
GTF2H1,0.9377663333333331,0.13499275917396406,GTF2H1,0.8155655577847004
PAM16,0.5070184999999999,0.024952706237201968,PAM16,0.8126910028605238
ITGB1BP2,0.5322604999999999,0.029761579109977086,ITGB1BP2,0.8124126362736082
TAMM41,0.6868851666666665,0.06615684826387559,TAMM41,0.8101296702018361
