index,epsilon,pvalue,gene,product
RGS2,0.3200788333333333,0.01247961977686628,RGS2,0.6093656496189584
DCUN1D3,0.2747486666666667,0.0060840829941866,DCUN1D3,0.6087894337032654
OSR1,0.2787166666666667,0.00656104625075678,OSR1,0.6084459810239307
NKIRAS2,0.3898721666666666,0.02763348610856057,NKIRAS2,0.6076408495405402
GPBP1L1,0.3817566666666666,0.026045161014853383,GPBP1L1,0.6048067617623247
NTC_2233,0.4206688333333334,0.03657901524453283,NTC,0.6044035143276012
KRTAP4-9_ENST00000391415.1,0.80379,0.17711158041954178,KRTAP4-9,0.6042515772985718
PTEN,0.2961683333333333,0.009127936623172062,PTEN,0.6040730429285702
NTC_657,0.3063966666666667,0.010819649128484366,NTC,0.6023105298775283
NTC_2973,0.5778409999999999,0.09091906849373503,NTC,0.6017318491257699
ADAM12,0.34798883333333336,0.018833315034676012,ADAM12,0.6003062203274174
ADM,0.2849988333333333,0.007933862093748169,ADM,0.5986444249169249
C1orf86,0.6202166666666666,0.10857978328432878,C1orf86,0.5980445593420235
CD7,0.37767666666666666,0.02613882602252037,CD7,0.5977541182944102
SKAP2,0.5082533333333333,0.06674719533078144,SKAP2,0.5974858352888899
UPF3B,0.3004033333333333,0.010479136831941559,UPF3B,0.5947008153445017
CCDC169,0.29116,0.009197330833925628,CCDC169,0.5929002278026078
FAM156B_ENST00000416841.2,0.46896000000000004,0.055067707241820536,FAM156B,0.5904689452740203
PLRG1,0.5837721666666665,0.09796216648118417,PLRG1,0.5889920348507959
AMELX,0.2697153333333333,0.0066112424694413025,AMELX,0.5879030742091027
HMMR,0.3343021666666666,0.01745127610735376,HMMR,0.5877609798202612
PLCG1,0.3455288333333333,0.01994073770055702,PLCG1,0.5874884323265334
MYT1L,0.27244,0.007048812735624491,MYT1L,0.5862592843409747
ZBTB9,0.4173455,0.039437843258023436,ZBTB9,0.5859893257000602
NEUROD6,0.2857686666666666,0.008973161033321546,NEUROD6,0.5849840459991354
MROH9,0.7174033333333333,0.15325298227514994,MROH9,0.5843903456471371
CDKN1B,0.3220283333333333,0.01566007898379235,CDKN1B,0.5813274961997824
NTC_719,0.8887399999999999,0.22199245094685605,NTC,0.5809353826867699
NTC_1832,0.3199766666666667,0.01530851160856931,NTC,0.5807790987197564
KRTAP23-1_ENST00000334160.4,0.5798166666666668,0.1002121571889136,KRTAP23-1,0.5792829970575097
FAM212A,0.3790000000000001,0.029761579109977086,FAM212A,0.5784843871519634
FABP4,0.3053053333333333,0.012782059689094108,FABP4,0.5780648612902338
BST2,0.4806,0.06302923956110103,BST2,0.576940082380906
NFE2L2_P2,0.2734986666666666,0.007790402335746237,NFE2L2,0.5766555595389077
APAF1,0.3166955,0.015219735291626154,APAF1,0.5756234925601658
LOC643355_001270945,0.5748666666666666,0.1002121571889136,LOC643355,0.5743375530917134
COL17A1,0.28,0.0089437214191779,COL17A1,0.5735748862867213
UBE3A,0.2588353333333333,0.0060840829941866,UBE3A,0.5735285922008572
S1PR5,0.35352666666666666,0.023986891262455054,S1PR5,0.572722403575269
YTHDF3,0.8641200000000001,0.21792948837261272,YTHDF3,0.5717743787078327
PRM3,0.3214733333333333,0.016714315411637943,PRM3,0.571229632927269
ZNF16,0.25916666666666666,0.006252956183228893,ZNF16,0.5711812042761474
KLRC1_P2,0.6519299999999999,0.13306446417276402,KLRC1,0.5710502020070312
NTC_1042,0.35051999999999994,0.023770331269941592,NTC,0.5692321297015801
FAM170B,0.4204466666666667,0.044447400411555066,FAM170B,0.5685084884329772
SOWAHC,0.43372333333333335,0.04951916411072167,SOWAHC,0.5661072728536612
CCL3L1,0.2605255,0.00672014356356765,CCL3L1,0.5660232892959053
