gene name,log2 fold change of elderly vs adult,ratio of cells express this gene in elderly,ratio of cells express this gene in adult,Wilcox's p-value,q-value,cell type
SOX2,-0.575837664,0.325,0.395,3.6E-10,1.1E-05,inb-sv2c
CBLN2,0.587830907,0.436,0.413,3.5E-10,1.0E-05,L5/6
CGREF1,-0.592875843,0.236,0.311,3.4E-10,1.0E-05,inb-sv2c
RYR2,0.553518258,0.254,0.216,3.3E-10,9.7E-06,endo
MCFD2,-0.54007754,0.271,0.35,3.2E-10,9.6E-06,inb-sv2c
MAMDC2-AS1,0.563294564,0.26,0.217,3.1E-10,9.2E-06,L5/6-CC
ARHGDIA,-0.62101439,0.18,0.255,3.1E-10,9.1E-06,inb-sv2c
ARPC3,-0.652873516,0.293,0.367,3.0E-10,9.0E-06,inb-sv2c
RSPO2,0.519223192,0.317,0.274,3.0E-10,8.9E-06,L5/6
LAPTM4B,-0.546593372,0.298,0.375,2.9E-10,8.8E-06,inb-sv2c
DNAJC19,-0.579795993,0.246,0.325,2.9E-10,8.7E-06,inb-sv2c
CCT6A,-0.545018844,0.264,0.342,2.9E-10,8.6E-06,inb-sv2c
EMC3,-0.583351414,0.234,0.311,2.9E-10,8.5E-06,inb-sv2c
DDRGK1,-0.540959874,0.231,0.31,2.8E-10,8.4E-06,inb-sv2c
LIFR,0.515829766,0.376,0.341,2.7E-10,8.0E-06,L5/6-CC
RMND5B,-0.652697589,0.24,0.317,2.6E-10,7.8E-06,inb-sv2c
NLGN2,-0.591090992,0.235,0.31,2.6E-10,7.6E-06,inb-sv2c
TRPM3,1.229093202,0.291,0.258,2.3E-10,6.8E-06,endo
CACYBP,-0.625119014,0.232,0.313,2.3E-10,6.8E-06,inb-sv2c
COPS8,-0.696352888,0.187,0.262,1.9E-10,5.5E-06,inb-sv2c
CTSA,-0.645810703,0.193,0.268,1.9E-10,5.5E-06,inb-sv2c
CBWD6,0.6728275,0.314,0.275,1.7E-10,5.2E-06,L5/6-CC
LCORL,0.504431455,0.331,0.292,1.7E-10,5.0E-06,L5/6
OBSL1,-0.5469108,0.337,0.416,1.6E-10,4.8E-06,inb-sv2c
KDELR1,-0.62004936,0.201,0.276,1.5E-10,4.3E-06,inb-sv2c
MPG,-0.637698851,0.188,0.264,1.4E-10,4.2E-06,inb-sv2c
TMEM50A,-0.645028369,0.304,0.382,1.4E-10,4.2E-06,inb-sv2c
RGP1,-0.702466892,0.195,0.27,1.4E-10,4.2E-06,inb-sv2c
MFSD10,-0.650734745,0.18,0.256,1.4E-10,4.1E-06,inb-sv2c
VWA5B2,-0.829402181,0.199,0.272,1.4E-10,4.0E-06,inb-sv2c
RPS9,-0.53395614,0.336,0.419,1.3E-10,3.9E-06,inb-sv2c
NAP1L5,-0.660866965,0.282,0.363,1.3E-10,3.8E-06,inb-sv2c
SPINT2,-0.505489929,0.415,0.484,1.3E-10,3.7E-06,inb-sv2c
CHKB,-0.8198527,0.197,0.271,1.2E-10,3.4E-06,inb-sv2c
CNIH1,-0.643471888,0.277,0.357,1.1E-10,3.3E-06,inb-sv2c
AC093610.1,0.612707206,0.261,0.22,1.1E-10,3.2E-06,L5/6
GLRX2,-0.536763621,0.2,0.256,1.0E-10,3.1E-06,L5/6
NT5C3B,-0.693072611,0.191,0.267,9.8E-11,2.9E-06,inb-sv2c
AC007038.1,0.50406838,0.336,0.297,9.7E-11,2.9E-06,L5/6
NT5DC3,0.58060785,0.321,0.279,7.9E-11,2.4E-06,L5/6-CC
CFAP54,0.594737281,0.315,0.273,7.5E-11,2.2E-06,L5/6-CC
EPHB6,-0.651157202,0.337,0.409,7.1E-11,2.1E-06,inb-sv2c
SMAD5,0.5329058,0.259,0.215,6.6E-11,2.0E-06,L5/6
LINC02306,0.509445779,0.29,0.265,5.7E-11,1.7E-06,L4
PET100,-0.607086236,0.197,0.281,5.3E-11,1.6E-06,inb-sv2c
CA11,-0.616349219,0.269,0.35,5.3E-11,1.6E-06,inb-sv2c
SSU72,-0.607580431,0.265,0.348,4.7E-11,1.4E-06,inb-sv2c
AC034195.1,0.588000866,0.357,0.318,4.2E-11,1.3E-06,L5/6-CC
AP001011.1,0.564620912,0.29,0.246,4.1E-11,1.2E-06,L5/6-CC
TMEM258,-0.685713924,0.179,0.259,4.0E-11,1.2E-06,inb-sv2c
CRY1,0.523065423,0.292,0.21,3.9E-11,1.1E-06,inb-sv2c
GABARAPL1,-0.545733647,0.314,0.401,3.7E-11,1.1E-06,inb-sv2c
RSL24D1,-0.685861269,0.193,0.274,3.6E-11,1.1E-06,inb-sv2c
8-Mar,0.528690509,0.282,0.237,3.2E-11,9.5E-07,L5/6
KCNIP4-IT1,0.60177504,0.325,0.281,3.0E-11,9.0E-07,L5/6
CNTNAP3,0.70981816,0.287,0.253,2.9E-11,8.7E-07,inb-sst
NRG4,0.527682748,0.273,0.227,2.9E-11,8.6E-07,L5/6-CC
METTL5,-0.514978871,0.197,0.254,2.7E-11,8.1E-07,L5/6
COPRS,-0.525039295,0.203,0.287,2.6E-11,7.7E-07,inb-sv2c
JAM3,0.546319313,0.421,0.405,2.6E-11,7.6E-07,inb-sst
MARCKS,-0.679770971,0.213,0.296,2.3E-11,6.9E-07,inb-sv2c
MRPL34,-0.643686761,0.179,0.26,2.2E-11,6.4E-07,inb-sv2c
NECAP1,-0.542667632,0.269,0.355,2.1E-11,6.3E-07,inb-sv2c
RPL24,-0.52704733,0.436,0.509,2.1E-11,6.1E-07,inb-sv2c
TMEM242,-0.553155164,0.254,0.337,1.9E-11,5.6E-07,inb-sv2c
MED10,-0.615820292,0.238,0.328,1.7E-11,5.2E-07,inb-sv2c
PDIA6,-0.692211385,0.236,0.321,1.7E-11,5.1E-07,inb-sv2c
ATP8B4,0.56789276,0.256,0.209,1.4E-11,4.1E-07,L5/6
PCSK5,0.658421126,0.274,0.196,1.1E-11,3.4E-07,inb-sv2c
COMMD6,-0.672129454,0.185,0.267,1.1E-11,3.2E-07,inb-sv2c
LAMTOR4,-0.576814814,0.212,0.296,1.1E-11,3.2E-07,inb-sv2c
AC090517.5,0.505768116,0.353,0.31,9.5E-12,2.8E-07,L5/6-CC
GSTK1,-0.700345123,0.172,0.251,9.3E-12,2.8E-07,inb-sv2c
C1orf43,-0.630640839,0.263,0.349,9.1E-12,2.7E-07,inb-sv2c
PDXP,-0.51125445,0.263,0.348,9.0E-12,2.7E-07,inb-sv2c
CSTB,-0.586329964,0.216,0.302,8.1E-12,2.4E-07,inb-sv2c
CBX6,-0.50330752,0.402,0.487,8.0E-12,2.4E-07,inb-sv2c
AC013287.1,0.62147069,0.462,0.427,7.2E-12,2.1E-07,L5/6-CC
RPL7L1,-0.636596303,0.28,0.365,7.1E-12,2.1E-07,inb-sv2c
PITHD1,-0.567237914,0.323,0.412,7.1E-12,2.1E-07,inb-sv2c
SPRYD7,-0.515400595,0.201,0.26,6.7E-12,2.0E-07,L5/6
VAT1L,0.616456813,0.311,0.273,6.4E-12,1.9E-07,inb-sst
EIF4A1,-0.527509128,0.317,0.408,6.2E-12,1.9E-07,inb-sv2c
RPL12,-0.503023201,0.27,0.361,6.1E-12,1.8E-07,inb-sv2c
PPIB,-0.848186142,0.181,0.261,6.1E-12,1.8E-07,inb-sv2c
GRM5-AS1,0.542202938,0.273,0.225,5.9E-12,1.7E-07,L5/6-CC
RPS6KL1,-0.564661032,0.262,0.353,5.6E-12,1.7E-07,inb-sv2c
PFN2,-0.509387809,0.297,0.389,4.7E-12,1.4E-07,inb-sv2c
ADAMTS9-AS2,0.504351533,0.265,2.18E-01,4.40E-12,1.31E-07,opc
ATP6V1D,-0.556278735,0.328,0.421,4.4E-12,1.3E-07,inb-sv2c
NOP56,-0.618873662,0.257,0.343,4.3E-12,1.3E-07,inb-sv2c
DIRC3,0.510571157,0.301,0.217,4.2E-12,1.3E-07,inb-sv2c
PPP1R7,-0.717455873,0.263,0.347,4.1E-12,1.2E-07,inb-sv2c
B4GALNT1,-0.650690228,0.174,0.254,4.1E-12,1.2E-07,inb-sv2c
HBP1,0.570319616,0.357,0.271,4.0E-12,1.2E-07,inb-sv2c
NDUFS8,-0.665119531,0.231,0.314,3.9E-12,1.2E-07,inb-sv2c
SAP18,-0.708944059,0.277,0.366,3.8E-12,1.1E-07,inb-sv2c
SMIM19,-0.520522898,0.183,0.267,3.3E-12,9.7E-08,inb-sv2c
GAA,-0.663240077,0.173,0.256,3.0E-12,9.0E-08,inb-sv2c
EEF1A2,-0.588959104,0.336,0.419,2.5E-12,7.5E-08,inb-sv2c
BRD3,-0.520679565,0.193,0.254,2.4E-12,7.2E-08,L5/6
OS9,-0.578987081,0.307,0.394,2.3E-12,7.0E-08,inb-sv2c
CHID1,-0.672884768,0.198,0.282,2.3E-12,6.7E-08,inb-sv2c
DSTN,-0.511172032,0.497,0.569,2.2E-12,6.4E-08,inb-sv2c
GSS,-0.713093633,0.196,0.281,2.1E-12,6.3E-08,inb-sv2c
MDM2,0.507272534,0.265,0.219,2.1E-12,6.3E-08,endo
TMEM132A,-0.665050439,0.177,0.257,2.0E-12,5.9E-08,inb-sv2c
TMUB2,-0.635442989,0.171,0.254,2.0E-12,5.8E-08,inb-sv2c
SLCO5A1,0.832529914,0.293,0.219,2.0E-12,5.8E-08,inb-sv2c
ATF4,-0.580267234,0.189,0.276,1.9E-12,5.7E-08,inb-sv2c
RPLP0,-0.663285294,0.292,0.38,1.9E-12,5.6E-08,inb-sv2c
MAP1LC3B,-0.608414842,0.375,0.466,1.9E-12,5.6E-08,inb-sv2c
CIAO1,-0.51424083,0.334,0.422,1.8E-12,5.3E-08,inb-sv2c
HSPE1,-0.62911518,0.259,0.352,1.7E-12,5.2E-08,inb-sv2c
PRMT1,-0.626628693,0.22,0.303,1.7E-12,5.1E-08,inb-sv2c
SMDT1,-0.623412662,0.184,0.27,1.6E-12,4.8E-08,inb-sv2c
AC046195.1,0.622412719,0.357,0.316,1.6E-12,4.8E-08,L5/6
CCT2,-0.548186619,0.325,0.41,1.6E-12,4.6E-08,inb-sv2c
PRIM2,0.53531971,0.429,0.393,1.5E-12,4.4E-08,L5/6-CC
TOMM5,-0.746696068,0.202,0.29,1.4E-12,4.2E-08,inb-sv2c
PNMA1,-0.81554455,0.209,0.294,1.4E-12,4.2E-08,inb-sv2c
EI24,-0.572860809,0.244,0.337,1.2E-12,3.6E-08,inb-sv2c
STARD13,0.502928782,0.438,0.417,1.2E-12,3.6E-08,inb-sst
AK1,-0.66898277,0.173,0.257,1.2E-12,3.5E-08,inb-sv2c
RPS13,-0.536501636,0.28,0.37,1.2E-12,3.5E-08,inb-sv2c
FIS1,-0.512784595,0.216,0.311,1.1E-12,3.3E-08,inb-sv2c
SLITRK1,-0.556006437,0.243,0.305,1.1E-12,3.3E-08,L5/6
NDUFA3,-0.705745871,0.221,0.313,1.1E-12,3.2E-08,inb-sv2c
HSD17B12,-0.558013432,0.3,0.394,1.0E-12,3.0E-08,inb-sv2c
JADE1,0.533992894,0.308,0.221,9.9E-13,3.0E-08,inb-sv2c
KLHDC3,-0.644257212,0.295,0.383,9.6E-13,2.9E-08,inb-sv2c
SRA1,-0.522030673,0.208,0.26,9.0E-13,2.7E-08,inb-pv
ANGPT2,0.621122656,0.303,0.259,8.8E-13,2.6E-08,endo
ADAM32,0.600978943,0.344,0.3,8.6E-13,2.6E-08,L5/6-CC
AC009554.1,0.564662294,0.253,0.205,8.6E-13,2.5E-08,inb-pv
C3orf67-AS1,0.646080184,0.347,0.314,8.2E-13,2.4E-08,inb-sst
LINC02263,-0.535561654,0.33,0.385,7.5E-13,2.2E-08,L5/6
PTGES2,-0.783246474,0.181,0.268,7.3E-13,2.2E-08,inb-sv2c
AC008691.1,0.537566324,0.273,0.225,6.9E-13,2.1E-08,inb-vip
AC132803.1,0.662258619,0.273,0.225,6.7E-13,2.0E-08,L5/6-CC
MDH2,-0.644442819,0.194,0.28,5.5E-13,1.6E-08,inb-sv2c
REEP2,-0.605925994,0.354,0.438,5.4E-13,1.6E-08,inb-sv2c
FBXO2,-0.716461892,0.225,0.312,5.4E-13,1.6E-08,inb-sv2c
