gene name,log2 fold change of elderly vs adult,ratio of cells express this gene in elderly,ratio of cells express this gene in adult,Wilcox's p-value,q-value,cell type
FAM89A,-0.84824449,0.16,0.309,1.3E-65,3.8E-61,inb-sst
NDUFS7,-0.846376493,0.236,0.38,1.3E-65,3.7E-61,inb-pv
PLXDC1,-0.559623074,0.265,0.324,1.3E-65,3.7E-61,L2/3
RETREG2,-0.727531656,0.278,0.414,1.2E-65,3.6E-61,inb-vip
VDAC3,-0.550534233,0.326,0.501,1.0E-65,3.1E-61,inb-sst
AP4M1,-0.544186212,0.244,0.303,1.0E-65,3.0E-61,L2/3
PHB,-1.092600148,0.133,0.259,1.0E-65,3.0E-61,inb-pv
ATP6V0B,-0.660751112,0.194,0.313,9.0E-66,2.7E-61,micro
SLC3A2,-0.537819222,0.253,0.343,8.9E-66,2.6E-61,L4
YJEFN3,-0.826422989,0.259,0.415,8.9E-66,2.6E-61,L5/6
DCTN3,-0.929223001,0.168,0.304,8.8E-66,2.6E-61,inb-pv
RPL36,-0.698698031,0.337,0.488,8.7E-66,2.6E-61,inb-pv
LRRC47,-0.585862412,0.244,0.301,8.5E-66,2.5E-61,L2/3
PLEKHJ1,-0.934849793,0.214,0.362,7.0E-66,2.1E-61,L5/6-CC
LRPAP1,-0.813179448,0.289,0.416,6.8E-66,2.0E-61,inb-vip
MAP1LC3A,-0.574354672,0.172,0.254,6.8E-66,2.0E-61,ast
MICOS10,-0.618032368,0.446,0.602,6.7E-66,2.0E-61,L5/6-CC
RPS15,-0.559845515,0.288,0.419,6.6E-66,2.0E-61,micro
MEG8,0.525513279,7.24E-01,0.674,6.36E-66,1.89E-61,opc
BBS2,0.529501749,3.14E-01,2.84E-01,6.23E-66,1.85E-61,oli
NDUFS2,-0.637007588,0.209,0.369,6.2E-66,1.8E-61,inb-sst
CALM2,-0.680658208,0.813,0.857,5.4E-66,1.6E-61,inb-sv2c
SLC25A29,-0.6150269,0.361,0.526,5.3E-66,1.6E-61,L5/6-CC
IKZF2,0.608569059,2.58E-01,2.23E-01,5.03E-66,1.50E-61,oli
TKT,-0.845689176,0.259,0.387,4.7E-66,1.4E-61,inb-vip
RPL21,-0.513553142,0.261,0.348,4.5E-66,1.3E-61,ast
PRRT2,-0.5399213,0.428,0.596,4.0E-66,1.2E-61,L5/6-CC
INF2,-1.062245368,0.23,0.382,3.9E-66,1.2E-61,L5/6
EEF1A1,-0.596457558,0.557,0.678,3.8E-66,1.1E-61,inb-pv
RAB26,-0.740636784,0.159,0.308,3.2E-66,9.6E-62,inb-sst
MYDGF,-1.013680683,0.137,0.259,3.2E-66,9.5E-62,inb-vip
RPLP1,-0.607212889,0.422,0.569,3.1E-66,9.3E-62,inb-pv
DIPK1B,-0.533278992,0.182,0.267,2.9E-66,8.7E-62,L4
PITHD1,-0.805357404,0.276,0.423,2.9E-66,8.5E-62,inb-pv
CKMT1B,-0.629246599,0.182,0.338,2.6E-66,7.6E-62,inb-sst
NDUFA4,-0.732533248,0.526,0.659,2.5E-66,7.3E-62,L5/6
NDUFB5,-0.746785774,0.324,0.466,2.5E-66,7.3E-62,inb-pv
LAPTM4B,-0.702502979,0.34,0.483,2.3E-66,7.0E-62,inb-pv
NRBP2,-0.594558778,0.441,0.589,2.0E-66,5.9E-62,L5/6-CC
RPS5,-0.632080055,0.172,0.33,1.9E-66,5.7E-62,inb-sst
RPS19BP1,-0.856122512,0.19,0.344,1.8E-66,5.4E-62,L5/6-CC
AP000462.1,-0.523846294,0.32,0.415,1.8E-66,5.4E-62,L4
RPL36AL,-0.878228303,0.197,0.332,1.7E-66,5.1E-62,inb-vip
COX6B1,-0.678730726,0.354,0.52,1.7E-66,5.0E-62,L5/6-CC
RING1,-0.763418728,0.31,0.472,1.6E-66,4.8E-62,L5/6-CC
SNAPC5,-0.6179092,0.21,0.269,1.6E-66,4.6E-62,L2/3
SERF2,-0.503239189,0.221,0.306,1.5E-66,4.6E-62,ast
CNP,-0.605611626,0.184,0.268,1.5E-66,4.4E-62,L4
THEM6,-0.51297523,0.247,0.307,1.4E-66,4.2E-62,L2/3
CNN3,0.555893074,0.375,0.288,1.4E-66,4.0E-62,ast
PKM,-0.595124215,0.508,0.615,1.3E-66,3.8E-62,inb-vip
RPL19,-0.554074213,0.276,0.41,1.2E-66,3.5E-62,micro
UBB,-0.777186496,0.403,0.559,1.1E-66,3.3E-62,L5/6
AC027031.2,-0.501901316,0.315,0.372,1.0E-66,3.0E-62,L2/3
DNAJA3,-0.538049061,0.236,0.327,9.9E-67,3.0E-62,L4
ATP1B1,-0.597492291,0.903,0.917,9.6E-67,2.9E-62,inb-sv2c
CD81,-0.880111341,0.236,0.379,9.3E-67,2.8E-62,inb-pv
CORO7,-0.528747156,0.204,0.292,8.9E-67,2.6E-62,L4
RPS23,-0.727611991,0.374,0.52,8.8E-67,2.6E-62,inb-pv
CCK,-0.865116074,0.414,0.573,8.8E-67,2.6E-62,L5/6
RPS12,-0.705129923,0.296,0.449,8.6E-67,2.6E-62,inb-pv
SLC2A1,-0.531771998,0.499,0.622,8.1E-67,2.4E-62,endo
ITM2C,-0.814708745,0.467,0.6,7.9E-67,2.4E-62,L5/6
MAFG,-0.52294302,0.241,0.33,7.9E-67,2.3E-62,L4
RPL15,-0.507957819,0.315,0.451,7.7E-67,2.3E-62,micro
OSBPL3,0.777931702,0.391,0.282,6.7E-67,2.0E-62,micro
SESN3,0.561042995,0.759,0.724,6.2E-67,1.9E-62,L5/6-CC
TANC2,0.716768256,0.425,0.319,5.6E-67,1.7E-62,micro
FLOT1,-0.508544208,0.489,0.653,5.3E-67,1.6E-62,L5/6-CC
MED10,-0.908022891,0.129,0.271,5.3E-67,1.6E-62,inb-sst
ATP6V0C,-0.676632434,3.02E-01,0.441,5.11E-67,1.52E-62,opc
MRPS7,-0.973960254,0.184,0.333,5.1E-67,1.5E-62,L5/6-CC
AL359091.1,-1.275073821,1.56E-01,0.282,4.54E-67,1.35E-62,opc
RPL17,-1.040210605,0.339,0.493,4.4E-67,1.3E-62,L5/6
EEF1B2,-0.880534059,0.196,0.338,4.3E-67,1.3E-62,inb-pv
BCL2L2,-0.581076556,0.254,0.345,4.3E-67,1.3E-62,L4
PSMB6,-1.098169905,0.132,0.26,4.1E-67,1.2E-62,inb-pv
SLC25A23,-0.583761021,0.38,0.544,4.0E-67,1.2E-62,L5/6-CC
DRAP1,-0.950284122,0.205,0.346,3.9E-67,1.2E-62,inb-pv
SRP14,-0.581476841,0.477,0.621,3.4E-67,1.0E-62,inb-pv
HSBP1,-0.720196004,0.159,0.312,3.4E-67,1.0E-62,inb-sst
TRAPPC3,-0.511391165,0.196,0.283,3.4E-67,1.0E-62,L4
TIMP2,-0.586374007,0.447,0.612,3.2E-67,9.6E-63,inb-sst
VASH1,-0.725905721,0.261,0.421,3.1E-67,9.2E-63,L5/6-CC
NSMF,-0.64812216,0.35,0.521,3.0E-67,9.0E-63,L5/6-CC
SV2A,-0.530211604,0.624,0.721,3.0E-67,8.8E-63,inb-pv
TESC,-0.593318446,0.503,0.654,2.8E-67,8.5E-63,L5/6-CC
RPS18,-0.596913756,0.413,0.545,2.8E-67,8.5E-63,inb-vip
LDHB,-0.838831644,2.54E-01,0.39,2.69E-67,7.99E-63,opc
ATP5MF,-0.704633844,0.158,0.313,2.6E-67,7.6E-63,inb-sst
YPEL3,-0.73283296,0.391,0.52,2.5E-67,7.5E-63,inb-vip
GSTK1,-0.797499067,0.326,0.483,2.4E-67,7.3E-63,L5/6-CC
CTSL,-0.840303129,0.304,0.446,2.3E-67,6.9E-63,inb-pv
FAU,-0.684796749,0.424,0.584,2.1E-67,6.3E-63,L5/6-CC
LINC01268,-0.820025361,0.153,0.266,2.1E-67,6.3E-63,micro
C18orf32,-0.702547433,0.213,0.376,1.8E-67,5.4E-63,inb-sst
EDF1,-0.885055795,0.281,0.444,1.8E-67,5.4E-63,L5/6
EML1,-0.711266566,0.152,0.268,1.8E-67,5.3E-63,micro
CYHR1,-0.594374939,0.485,0.641,1.7E-67,5.2E-63,L5/6-CC
SNRPD1,-0.525749678,0.225,0.315,1.6E-67,4.9E-63,L4
NMU,-0.713541083,0.23,0.392,1.6E-67,4.8E-63,inb-sst
NDUFC2,-0.919822786,0.357,0.513,1.5E-67,4.6E-63,L5/6
RNASE1,-0.882052149,0.266,0.388,1.5E-67,4.4E-63,endo
BLOC1S2,-0.539350013,0.264,0.356,1.4E-67,4.3E-63,L4
LDHB,-0.799339078,0.388,0.546,1.4E-67,4.3E-63,L5/6
H3F3B,-0.672497467,0.37,0.508,1.4E-67,4.2E-63,inb-vip
LTBP4,-0.54604678,0.31,0.365,1.4E-67,4.1E-63,L2/3
AP2M1,-0.527075499,0.232,0.315,1.4E-67,4.1E-63,ast
GSTK1,-0.766889311,0.358,0.499,1.3E-67,3.8E-63,inb-pv
LSM4,-0.790688181,0.242,0.398,1.2E-67,3.4E-63,L5/6-CC
ECE2,-0.629081251,0.47,0.58,1.1E-67,3.2E-63,inb-vip
CHKB,-0.905172556,0.246,0.385,1.0E-67,3.1E-63,inb-pv
CAPN10,-0.587873515,0.243,0.302,1.0E-67,3.1E-63,L2/3
HAX1,-0.864215456,0.228,0.384,1.0E-67,3.0E-63,L5/6-CC
UQCRQ,-0.9024204,0.211,0.354,9.5E-68,2.8E-63,inb-pv
RPL11,-0.540283921,0.305,0.488,9.4E-68,2.8E-63,inb-sst
GAP43,-0.627470584,2.39E-01,0.389,9.25E-68,2.75E-63,opc
SNU13,-0.733333798,0.292,0.442,8.8E-68,2.6E-63,inb-pv
H2AFZ,-0.609094065,0.22,0.389,8.0E-68,2.4E-63,inb-sst
CEND1,-0.716857837,0.291,0.431,7.5E-68,2.2E-63,inb-vip
RANBP1,-0.963810638,0.191,0.332,7.0E-68,2.1E-63,inb-pv
RPS18,-0.561291109,0.332,0.517,6.5E-68,1.9E-63,inb-sst
ENG,-0.67108255,0.445,0.558,6.2E-68,1.8E-63,endo
MZT2B,-0.65338434,0.309,0.458,5.8E-68,1.7E-63,inb-pv
PMPCA,-0.538829418,0.298,0.355,5.0E-68,1.5E-63,L2/3
UBC,-0.541707661,0.397,0.577,5.0E-68,1.5E-63,inb-sst
METTL26,-1.006731505,0.171,0.307,5.0E-68,1.5E-63,inb-pv
NDUFAF4,-0.515178394,0.241,0.332,4.5E-68,1.4E-63,L4
MRPL4,-0.877230414,0.213,0.355,4.5E-68,1.3E-63,inb-pv
DMAP1,-0.530684887,0.325,0.38,4.3E-68,1.3E-63,L2/3
RPL19,-0.620423579,0.402,0.539,4.3E-68,1.3E-63,inb-vip
HOOK2,-0.516640881,0.534,0.658,3.9E-68,1.2E-63,inb-pv
MOGS,-1.012609415,0.192,0.341,3.9E-68,1.2E-63,L5/6-CC
RGP1,-0.534037883,0.215,0.304,3.7E-68,1.1E-63,L4
GPAA1,-0.871346297,0.208,0.364,3.5E-68,1.0E-63,L5/6-CC
MFSD4B,0.659621687,0.262,0.181,3.4E-68,1.0E-63,ast
PPP1R11,-0.600547122,0.233,0.292,3.4E-68,1.0E-63,L2/3
MRPL4,-0.76950356,0.275,0.434,3.2E-68,9.5E-64,L5/6-CC
RPS5,-0.745375967,0.215,0.364,2.7E-68,8.1E-64,inb-pv
HMBOX1,0.504033095,0.447,0.36,2.7E-68,8.0E-64,ast
HAX1,-1.059011969,0.132,0.255,2.7E-68,7.9E-64,inb-vip
PMM1,-0.838215894,0.232,0.388,2.7E-68,7.9E-64,L5/6-CC
PKDCC,-0.638150718,0.216,0.303,2.7E-68,7.9E-64,L4
PSMD2,-0.704628808,0.347,0.509,2.5E-68,7.4E-64,L5/6-CC
CNDP2,-0.558242085,0.177,0.262,2.4E-68,7.2E-64,L4
STXBP5-AS1,0.584382516,0.736,0.641,2.4E-68,7.2E-64,L5/6-CC
DCTN2,-0.729958216,0.188,0.348,2.4E-68,7.1E-64,inb-sst
PRMT8,-0.575650637,0.543,0.683,2.4E-68,7.1E-64,L5/6-CC
IGFBP7,-0.546796249,0.632,0.735,2.3E-68,7.0E-64,endo
CA4,-0.981254105,0.285,0.403,2.3E-68,6.9E-64,endo
ARRB2,-0.561180014,0.233,0.323,2.2E-68,6.7E-64,L4
LGI2,-0.811468013,0.287,0.43,2.2E-68,6.6E-64,inb-pv
REEP5,-0.587940278,0.559,0.672,2.1E-68,6.1E-64,inb-pv
NDUFB8,-0.639561815,0.205,0.331,1.8E-68,5.5E-64,micro
DDA1,-0.565899889,0.177,0.263,1.8E-68,5.4E-64,L4
PTMA,-0.560746641,0.476,0.618,1.8E-68,5.3E-64,inb-pv
SEMA6B,-0.508014901,0.387,0.433,1.8E-68,5.3E-64,L2/3
MICOS10,-0.63064407,0.234,0.407,1.8E-68,5.2E-64,inb-sst
NHP2,-1.098351666,0.168,0.314,1.7E-68,5.1E-64,L5/6-CC
H2AFZ,-0.649672875,0.406,0.572,1.7E-68,5.0E-64,L5/6-CC
NME2,-0.613145276,0.442,0.61,1.7E-68,5.0E-64,L5/6-CC
GPR162,-0.655208949,0.394,0.554,1.6E-68,4.8E-64,L5/6-CC
SELENOW,-0.644251629,3.01E-01,0.448,1.62E-68,4.81E-64,opc
TRPS1,0.802555142,0.342,0.232,1.6E-68,4.7E-64,micro
PTGES2,-0.770866822,0.255,0.417,1.6E-68,4.7E-64,L5/6-CC
TRIR,-0.805555159,0.268,0.429,1.2E-68,3.7E-64,L5/6-CC
PPDPF,-0.965814671,0.146,0.281,1.2E-68,3.6E-64,inb-pv
RPL23A,-0.688426087,0.201,0.367,1.1E-68,3.3E-64,inb-sst
EPN1,-0.53982996,0.327,0.381,1.1E-68,3.3E-64,L2/3
B3GNT5,-0.551927762,0.263,0.397,1.1E-68,3.3E-64,micro
AC015943.1,-0.721566655,0.364,0.413,1.1E-68,3.3E-64,L2/3
MRPS18C,-0.500394649,0.231,0.322,1.1E-68,3.3E-64,L4
VSTM2L,-0.6777813,0.443,0.581,9.6E-69,2.8E-64,inb-pv
GUK1,-0.751549692,0.169,0.289,9.3E-69,2.8E-64,micro
VDAC2,-0.850162705,0.245,0.377,9.2E-69,2.7E-64,inb-vip
HSBP1,-0.674535644,0.303,0.47,9.0E-69,2.7E-64,L5/6-CC
ATP5PF,-0.729148619,0.332,0.474,8.4E-69,2.5E-64,inb-vip
RPL36AL,-0.78773886,0.267,0.428,8.3E-69,2.5E-64,L5/6-CC
TMEM25,-0.510683758,0.266,0.361,8.1E-69,2.4E-64,L4
AC025569.1,-0.613128667,0.194,0.322,7.7E-69,2.3E-64,micro
CNPY2,-0.609421118,0.434,0.595,7.6E-69,2.3E-64,L5/6-CC
CFL1,-0.762252478,0.451,0.599,7.5E-69,2.2E-64,L5/6
TCIM,-0.893543656,0.293,0.437,7.3E-69,2.2E-64,inb-pv
SCG3,-0.600346754,0.416,0.586,7.1E-69,2.1E-64,inb-sst
VGF,-1.126325326,0.119,0.26,6.9E-69,2.1E-64,L5/6
FKBP8,-0.583894874,0.244,0.418,6.5E-69,1.9E-64,inb-sst
ATP5IF1,-0.56186994,0.196,0.327,6.2E-69,1.8E-64,micro
CCDC24,-0.76653393,0.305,0.465,6.1E-69,1.8E-64,L5/6-CC
NMRAL1,-0.56798253,0.196,0.285,6.0E-69,1.8E-64,L4
STMN3,-0.68848374,0.394,0.526,5.9E-69,1.7E-64,inb-vip
PARK7,-0.820042201,1.53E-01,0.29,5.36E-69,1.59E-64,opc
ELOB,-0.755282836,0.264,0.405,5.2E-69,1.6E-64,inb-vip
RPL18A,-0.742385322,0.283,0.436,5.1E-69,1.5E-64,inb-pv
COX6B1,-0.708448066,0.147,0.265,5.1E-69,1.5E-64,micro
GNA12,0.58750196,0.318,0.229,4.8E-69,1.4E-64,ast
TSPOAP1,-0.666396429,0.264,0.345,4.7E-69,1.4E-64,ast
AC093523.1,0.947162772,0.542,0.43,4.6E-69,1.4E-64,L5/6-CC
ACAP3,-0.874836757,0.474,0.616,4.4E-69,1.3E-64,L5/6
ULK3,-0.829506119,0.128,0.271,4.2E-69,1.2E-64,inb-sst
TECPR1,-0.632168753,0.387,0.55,4.1E-69,1.2E-64,L5/6-CC
FBXL15,-0.940534829,0.208,0.35,4.1E-69,1.2E-64,inb-pv
SEC62,-0.557983948,0.58,0.69,4.0E-69,1.2E-64,inb-pv
RPL8,-0.74318809,1.88E-01,0.332,3.71E-69,1.10E-64,opc
TLE5,-0.517549072,0.339,0.525,3.7E-69,1.1E-64,inb-sst
RPL26,-0.692361145,2.23E-01,0.371,3.64E-69,1.08E-64,opc
PLPBP,-0.546377337,0.173,0.258,3.6E-69,1.1E-64,L4
MAP2K2,-0.799845705,0.315,0.455,3.5E-69,1.0E-64,inb-pv
METTL3,-0.538662985,0.179,0.265,3.4E-69,1.0E-64,L4
TIMM50,-0.573015471,0.257,0.316,3.4E-69,1.0E-64,L2/3
UTRN,-0.763647931,1.81E-01,0.323,3.26E-69,9.68E-65,opc
NDUFB10,-0.851775164,0.3,0.461,3.2E-69,9.5E-65,L5/6-CC
CACNA1C,0.512176406,0.377,0.284,3.2E-69,9.4E-65,ast
AURKAIP1,-0.906885372,0.113,0.253,3.1E-69,9.2E-65,inb-sst
FAM131A,-0.893493484,0.351,0.512,3.1E-69,9.1E-65,L5/6
AC093865.1,1.101136122,0.413,0.28,3.0E-69,8.9E-65,L5/6-CC
AC068308.1,-0.79599379,0.175,0.256,2.8E-69,8.2E-65,ast
ACOT8,-0.522757752,0.293,0.351,2.6E-69,7.7E-65,L2/3
GAA,-0.513407069,0.207,0.296,2.4E-69,7.3E-65,L4
GOT1,-0.56199367,0.555,0.672,2.4E-69,7.2E-65,inb-pv
AC068587.4,0.664441165,0.609,0.508,2.3E-69,6.7E-65,inb-pv
CALM1,-0.622113525,0.902,0.923,2.1E-69,6.3E-65,inb-sv2c
CADPS2,0.646033459,0.719,0.66,2.1E-69,6.2E-65,L5/6
PMEPA1,-0.700709206,0.215,0.303,2.1E-69,6.2E-65,L4
CTSF,-0.70155303,0.18,0.338,2.1E-69,6.2E-65,inb-sst
NTNG2,-0.519709167,0.201,0.291,2.0E-69,6.0E-65,L4
VDAC3,-0.652385487,0.419,0.546,2.0E-69,6.0E-65,inb-vip
HSF4,-0.513634398,0.21,0.284,2.0E-69,5.9E-65,inb
PTPRT,0.589927035,0.752,0.621,1.6E-69,4.9E-65,L5/6
NDUFAB1,-0.813982973,0.281,0.425,1.6E-69,4.8E-65,inb-pv
ELOB,-0.65420018,0.151,0.271,1.6E-69,4.7E-65,micro
DTNA,0.731061764,0.429,0.322,1.6E-69,4.7E-65,micro
TM7SF2,-1.15955821,0.133,0.275,1.4E-69,4.2E-65,L5/6
RPSA,-0.583007864,0.252,0.428,1.4E-69,4.1E-65,inb-sst
HOOK2,-0.714350553,0.245,0.413,1.4E-69,4.0E-65,inb-sst
RNASEK,-0.624384536,0.182,0.308,1.4E-69,4.0E-65,micro
SCN2B,-0.740227236,0.286,0.425,1.3E-69,4.0E-65,inb-vip
HOPX,-1.00928985,0.165,0.306,1.2E-69,3.7E-65,inb-pv
ABHD14A,-0.844882774,0.16,0.313,1.2E-69,3.7E-65,inb-sst
CYCS,-0.747511787,0.14,0.257,1.2E-69,3.7E-65,micro
UQCRQ,-1.110780592,0.158,0.309,1.1E-69,3.4E-65,L5/6
CCDC85B,-0.841547634,0.396,0.553,1.1E-69,3.3E-65,L5/6
SUMO2,-0.597643905,0.174,0.259,1.1E-69,3.2E-65,ast
RIN1,-0.68940281,0.2,0.26,1.0E-69,3.1E-65,L2/3
SEZ6,-0.63349517,0.241,0.301,9.7E-70,2.9E-65,L2/3
NDUFB2,-0.673127845,0.349,0.498,9.6E-70,2.8E-65,inb-pv
AL162231.1,-1.004820817,0.17,0.319,8.8E-70,2.6E-65,L5/6-CC
AC079382.2,0.722117345,0.286,0.206,7.5E-70,2.2E-65,L4
TMEM240,-0.850523287,0.261,0.422,7.1E-70,2.1E-65,L5/6-CC
NDUFB9,-0.936087942,0.254,0.4,6.9E-70,2.1E-65,inb-pv
COX7C,-0.722421743,2.33E-01,0.382,6.80E-70,2.02E-65,opc
CIAO2B,-0.779709724,0.284,0.449,6.5E-70,1.9E-65,L5/6-CC
LY6E,-1.026019633,0.254,0.414,6.2E-70,1.8E-65,L5/6
RPS3A,-0.573934203,0.251,0.386,6.2E-70,1.8E-65,micro
DPH7,-0.531145509,0.225,0.316,6.1E-70,1.8E-65,L4
NEDD8,-0.564685189,0.23,0.406,5.8E-70,1.7E-65,inb-sst
SYT5,-0.933060087,0.151,0.288,5.6E-70,1.7E-65,inb-pv
STARD4,-0.543115852,0.317,0.373,5.3E-70,1.6E-65,L2/3
TTC9B,-1.019716864,1.48E-01,0.278,5.22E-70,1.55E-65,opc
CUTA,-0.903810162,0.128,0.272,4.7E-70,1.4E-65,inb-sst
PSMA7,-0.687926093,0.185,0.346,4.7E-70,1.4E-65,inb-sst
QTRT1,-0.597881131,0.491,0.649,4.5E-70,1.3E-65,L5/6-CC
AL583808.1,0.827833448,0.272,0.194,4.3E-70,1.3E-65,L4
AGAP2,-0.612841971,0.405,0.571,4.2E-70,1.3E-65,L5/6-CC
ILF3-DT,-0.602849613,0.243,0.303,3.9E-70,1.2E-65,L2/3
GABARAPL2,-0.741523172,0.323,0.468,3.9E-70,1.2E-65,inb-vip
NDUFA11,-0.784094877,0.238,0.389,3.7E-70,1.1E-65,inb-pv
ENO2,-0.591150465,0.533,0.661,3.6E-70,1.1E-65,inb-pv
ATP5MC3,-0.856225249,0.299,0.468,3.2E-70,9.4E-66,L5/6
RPL37A,-0.820610058,0.488,0.605,3.1E-70,9.4E-66,inb-pv
YJEFN3,-0.723314205,0.381,0.543,3.0E-70,8.8E-66,L5/6-CC
RPL24,-0.670847839,0.387,0.537,2.9E-70,8.5E-66,inb-pv
SOD1,-0.511759969,0.346,0.537,2.8E-70,8.4E-66,inb-sst
TLE5,-0.634837865,0.487,0.62,2.6E-70,7.7E-66,inb-pv
ADCK5,-0.604286971,0.251,0.31,2.5E-70,7.3E-66,L2/3
DNAJA1,-0.813326344,0.335,0.483,2.4E-70,7.3E-66,inb-pv
UCHL1,-0.553028606,0.3,0.435,2.4E-70,7.1E-66,micro
RHOT2,-0.768132477,0.137,0.286,2.2E-70,6.5E-66,inb-sst
ATP5F1E,-0.88008545,0.344,0.505,2.2E-70,6.5E-66,L5/6
ATP5F1B,-0.586746891,0.497,0.657,2.1E-70,6.2E-66,L5/6-CC
ARL4C,-0.635195412,0.353,0.532,2.0E-70,6.1E-66,inb-sst
ANKRD13D,-0.829086194,0.329,0.472,2.0E-70,6.0E-66,inb-pv
VASH1,-0.644140272,0.199,0.286,2.0E-70,5.9E-66,L4
NDUFS2,-0.683329738,0.419,0.554,2.0E-70,5.9E-66,inb-pv
BNC2,1.622863644,0.256,0.145,2.0E-70,5.9E-66,endo
MMP25-AS1,-0.530809957,0.275,0.335,1.9E-70,5.7E-66,L2/3
ARF5,-0.805830222,0.127,0.274,1.9E-70,5.6E-66,inb-sst
ATP5IF1,-0.766019277,1.91E-01,0.335,1.78E-70,5.30E-66,opc
STUB1,-0.989950589,0.244,0.405,1.7E-70,5.2E-66,L5/6
COMMD3,-0.606751906,0.234,0.294,1.7E-70,5.1E-66,L2/3
ANKRD52,-0.521706408,0.208,0.298,1.7E-70,5.1E-66,L4
RABAC1,-0.766401105,0.173,0.33,1.7E-70,4.9E-66,inb-sst
GTF2H2,-0.562673168,0.243,0.335,1.6E-70,4.7E-66,L4
RPS2,-0.755822772,0.324,0.477,1.6E-70,4.6E-66,inb-pv
PINK1,-0.736472389,0.286,0.437,1.5E-70,4.6E-66,inb-pv
TMEM59L,-0.588649735,0.221,0.307,1.5E-70,4.5E-66,ast
TPT1,-0.619696269,0.427,0.573,1.5E-70,4.4E-66,inb-pv
EID1,-0.764955751,2.46E-01,0.39,1.44E-70,4.27E-66,opc
KCNH3,-0.859823672,0.435,0.577,1.3E-70,4.0E-66,L5/6
PHPT1,-0.944106328,0.161,0.301,1.3E-70,4.0E-66,inb-pv
RTN2,-0.792655227,0.269,0.433,1.3E-70,4.0E-66,L5/6-CC
NME3,-0.590295046,0.194,0.36,1.2E-70,3.6E-66,inb-sst
NDUFB7,-0.816796238,0.213,0.362,1.1E-70,3.4E-66,inb-pv
GAB2,0.68870091,0.259,0.176,1.1E-70,3.2E-66,ast
RPL26,-0.671860254,0.413,0.551,1.1E-70,3.2E-66,inb-vip
MSMO1,-0.514726063,0.199,0.288,9.8E-71,2.9E-66,ast
AP1S1,-0.938341686,0.148,0.279,9.1E-71,2.7E-66,inb-vip
CREG1,-0.516305312,0.213,0.288,8.9E-71,2.6E-66,inb
UQCR11,-0.773896095,0.266,0.421,8.8E-71,2.6E-66,inb-pv
CTSD,-0.76012361,0.284,0.424,8.6E-71,2.6E-66,inb-vip
TCEA2,-0.688385779,0.376,0.537,8.5E-71,2.5E-66,L5/6-CC
RPS26,-1.093213445,0.267,0.422,8.4E-71,2.5E-66,L5/6
VPS4A,-0.523423752,0.181,0.255,7.6E-71,2.2E-66,inb
DEF8,-0.514241786,0.257,0.351,7.4E-71,2.2E-66,L4
EEF1G,-0.67009177,0.181,0.344,7.4E-71,2.2E-66,inb-sst
RAB3B,-0.693652995,0.356,0.525,6.7E-71,2.0E-66,inb-sst
MAL2,-0.624572155,0.473,0.626,6.4E-71,1.9E-66,L5/6-CC
TOMM7,-0.763851403,0.369,0.539,6.1E-71,1.8E-66,L5/6-CC
RGS4,-0.705473559,1.70E-01,0.319,6.05E-71,1.80E-66,opc
BTF3,-0.983192715,0.192,0.329,5.6E-71,1.7E-66,inb-vip
IAH1,-0.520838616,0.307,0.405,5.3E-71,1.6E-66,L4
FXYD6,-0.590993251,4.17E-01,0.559,5.27E-71,1.57E-66,opc
CLSTN3,-0.560332889,0.338,0.522,5.0E-71,1.5E-66,inb-sst
MRPL28,-0.981576297,0.144,0.292,4.8E-71,1.4E-66,L5/6-CC
ZNF580,-0.741999406,0.222,0.279,4.7E-71,1.4E-66,L2/3
PGAM1,-0.617188908,0.189,0.355,4.6E-71,1.4E-66,inb-sst
CMAS,-0.636541051,0.465,0.621,4.3E-71,1.3E-66,L5/6-CC
SEMA6B,-0.568649289,0.193,0.265,3.8E-71,1.1E-66,inb
SNCB,-0.698720367,0.352,0.507,3.6E-71,1.1E-66,inb-pv
DPF1,-0.657142463,0.425,0.597,3.0E-71,9.0E-67,L5/6-CC
SYF2,-0.616463785,0.185,0.273,2.9E-71,8.7E-67,L4
PNOC,-1.306970316,0.124,0.252,2.9E-71,8.6E-67,inb-pv
CYCS,-0.940039929,1.24E-01,0.257,2.70E-71,8.03E-67,opc
RPS25,-0.89578287,0.291,0.441,2.2E-71,6.5E-67,inb-pv
RPL32,-0.665933331,0.43,0.576,1.9E-71,5.8E-67,inb-pv
COX4I1,-0.545808372,0.251,0.39,1.9E-71,5.7E-67,micro
CALM1,-0.526158927,6.94E-01,0.767,1.83E-71,5.43E-67,opc
NDUFA12,-0.643764732,0.186,0.352,1.5E-71,4.4E-67,inb-sst
POMT1,-0.731367907,0.273,0.438,1.4E-71,4.3E-67,L5/6-CC
ATP6V0C,-0.911076505,0.663,0.772,1.4E-71,4.2E-67,inb-sv2c
RNF150,0.952338157,0.292,0.186,1.4E-71,4.2E-67,micro
COX7A2,-0.670778833,0.154,0.279,1.4E-71,4.1E-67,micro
ATP5F1E,-0.587992286,0.272,0.41,1.3E-71,4.0E-67,micro
MZT2B,-0.635417188,0.426,0.595,1.3E-71,3.8E-67,L5/6-CC
RPL17,-0.581820425,0.291,0.472,1.3E-71,3.8E-67,inb-sst
TUFM,-0.943657192,0.181,0.315,1.2E-71,3.7E-67,inb-vip
