query,_id,_score,symbol,notfound
Csad,246277,14.968885,Csad,
Ddx47,67755,14.715199,Ddx47,
Tpi1,21991,15.09061,Tpi1,
Tmem9b,56786,14.787148,Tmem9b,
Upf2,326622,14.304395,Upf2,
Rabl3,67657,14.776367,Rabl3,
Rab24,19336,14.82189,Rab24,
Ttc4,72354,14.749799,Ttc4,
Dlg5,71228,14.624542,Dlg5,
Cercam,99151,14.810819,Cercam,
Eftud1,101592,16.278599,Efl1,
Mfap3,216760,15.207356,Mfap3,
Accs,329470,15.037041,Accs,
Pgrmc2,70804,14.787148,Pgrmc2,
Cct2,12461,14.178739,Cct2,
Thoc5,107829,14.260343,Thoc5,
Pdrg1,68559,14.418811,Pdrg1,
Dbndd1,72185,14.814498,Dbndd1,
Zfp790,233056,20.907745,Zfp790,
Amn1,232566,15.011063,Amn1,
Pmpcb,73078,14.758595,Pmpcb,
Adck1,72113,14.282184,Adck1,
Upf1,19704,14.359045,Upf1,
Gosr2,56494,14.781747,Gosr2,
Wdr46,57315,14.975123,Wdr46,
Pik3c2a,18704,14.794385,Pik3c2a,
Zfp386,56220,21.712498,Zfp386,
Ttc9b,73032,15.118246,Ttc9b,
Ensa,56205,15.4297495,Ensa,
Stra13,16792,17.586458,Stra13,
D430042O09Rik,233865,21.084198,Katnip,
Nubp2,26426,14.274861,Nubp2,
Nupl1,71844,16.012417,Nup58,
Mrps7,50529,14.271216,Mrps7,
Maml3,433586,14.794385,Maml3,
Rspry1,67610,14.76213,Rspry1,
Arfgap1,66251,18.145218,Arfgap1,
Cdc123,98828,14.739323,Cdc123,
Fam188b,330323,14.576877,Mindy4,
Cblb,208650,14.863313,Cblb,
Cntrob,216846,15.487201,Cntrob,
Nol11,68979,14.781747,Nol11,
Ddx23,74351,14.77995,Ddx23,
Preb,50907,14.867146,Preb,
Jakmip1,76071,14.884529,Jakmip1,
Tmed8,382620,14.703305,Tmed8,
Ppp1r2,19051,18.35969,Ppp1r2,
Exosc5,27998,14.89429,Exosc5,
Mrpl54,66047,14.244796,Mrpl54,
Zfp275,27081,21.124914,Zfp275,
Nop56,67134,14.241234,Nop56,
Pik3c3,225326,14.739323,Pik3c3,
Atxn10,54138,14.727205,Atxn10,
Map3k12,26404,14.872914,Map3k12,
Capza1,12340,15.253019,Capza1,
Tor1aip2,240832,16.338259,Tor1aip2,
Tmem127,69470,14.849989,Tmem127,
Dhx8,217207,14.870989,Dhx8,
Sfn,104444,19.122843,Sfn,
Fam149b,105428,21.124914,Fam149b,
Mef2d,17261,14.846208,Mef2d,
Cherp,27967,14.785345,Cherp,
Stc2,20856,15.284377,Stc2,
Zfyve26,211978,14.767451,Zfyve26,
Abi1,11308,15.255603,Abi1,
Idi1,319554,14.884529,Idi1,
Ckap4,216197,14.833056,Ckap4,
Spsb3,79043,15.341144,Spsb3,
Cct6a,12466,14.849989,Cct6a,
Acads,11409,14.755068,Acads,
Fig4,103199,14.520548,Fig4,
Zfp521,225207,20.166035,Zfp521,
Tbc1d20,67231,14.783545,Tbc1d20,
Ccdc115,69668,16.129812,Ccdc115,
Pstk,214580,14.783545,Pstk,
Tob2,57259,15.144106,Tob2,
Phf21b,271305,14.807149,Phf21b,
Arfip2,76932,15.33288,Arfip2,
Tmem199,195040,16.013535,Tmem199,
Snrpg,68011,14.2932415,Snrpg,
Gnb1l,13972,14.763902,Gnb1l,
Pqlc3,217430,14.130752,Slc66a3,
Arl5a,75423,14.798019,Arl5a,
Bcat1,12035,14.812657,Bcat1,
R3hdm1,226412,15.129937,R3hdm1,
Foxo4,54601,14.810819,Foxo4,
Rrp12,107094,14.678175,Rrp12,
Gars,353172,14.16569,Gars1,
Pcna,18538,14.263958,Pcna,
Tfpt,69714,15.059093,Tfpt,
Fam117b,72750,15.287025,Fam117b,
Vgf,381677,15.083793,Vgf,
Nkap,67050,14.807149,Nkap,
Eftud2,20624,14.749799,Eftud2,
Fam155a,270028,13.896357,Nalf1,
Exoc7,53413,14.746298,Exoc7,
Zfx,22764,15.168071,Zfx,
Sh2d5,230863,14.878709,Sh2d5,
Ddx18,66942,14.772793,Ddx18,
Mrpl53,68499,14.285857,Mrpl53,
Mks1,380718,14.356451,Mks1,
Arfrp1,76688,14.290775,Arfrp1,
Pcyt2,68671,14.676516,Pcyt2,
Asprv1,67855,16.09481,Asprv1,
Gtf2e1,74197,14.76213,Gtf2e1,
Galnt14,71685,14.836801,Galnt14,
Abcf1,224742,14.898214,Abcf1,
Ada,11486,13.992707,Ada,
Htra2,64704,14.653522,Htra2,
Erich1,234086,15.168071,Erich1,
Dennd3,105841,15.311101,Dennd3,
Cltc,67300,15.263388,Cltc,
Psmb3,26446,14.792573,Psmb3,
Sympk,68188,14.863313,Sympk,
Ruvbl2,20174,14.926023,Ruvbl2,
Set,56086,14.732386,Set,
Hars2,70791,16.645565,Hars2,
Cdr2l,237988,14.769229,Cdr2l,
Usp47,74996,14.373403,Usp47,
Tmem120b,330189,14.760362,Tmem120b,
Ythdc1,231386,14.332068,Ythdc1,
Slc25a36,192287,15.2224,Slc25a36,
Cdh13,12554,14.734116,Cdh13,
Psma5,26442,14.748047,Psma5,
Coasy,71743,14.788954,Coasy,
Dbp,15488,16.709167,Dbp,
Pop1,23828,17.193527,Pop1,
Unc45b,217012,14.706692,Unc45b,
Cacng4,54377,15.199899,Cacng4,
Tmcc3,319880,14.825602,Tmcc3,
Psmg4,69666,14.853782,Psmg4,
Chn1,108699,14.756831,Chn1,
Thoc1,225160,14.703305,Thoc1,
Atf7,223922,16.41169,Atf7,
Nusap1,108907,14.772793,Nusap1,
Spag9,70834,15.250441,Spag9,
Eif2b2,217715,14.755068,Eif2b2,
Mrps18a,68565,14.25554,Mrps18a,
Med28,66999,14.3169,Med28,
Tbce,70430,14.337164,Tbce,
Sf3b2,319322,14.417452,Sf3b2,
Med14,26896,14.236501,Med14,
Pim3,223775,14.964741,Pim3,
Pkp4,227937,14.857587,Pkp4,
Rassf10,78748,15.253019,Rassf10,
Exoc2,66482,14.772793,Exoc2,
Mmab,77697,14.758595,Mmab,
Acaa1b,235674,21.124914,Acaa1b,
Ccl12,20293,21.124914,Ccl12,
Ppp1r10,52040,14.938125,Ppp1r10,
App,11820,14.615023,App,
Dstyk,213452,14.751554,Dstyk,
Crmp1,12933,14.870989,Crmp1,
Srrm1,51796,14.311884,Srrm1,
Plxdc1,72324,15.032674,Plxdc1,
Zw10,26951,14.299425,Zw10,
Capn5,12337,15.281735,Capn5,
Mat2a,232087,15.465738,Mat2a,
Rab3gap1,226407,14.294475,Rab3gap1,
Cdc20,107995,14.722047,Cdc20,
Recql5,170472,14.767451,Recql5,
1190002N15Rik,68861,21.084198,Dipk2a,
Srd5a3,57357,14.741062,Srd5a3,
Fabp7,12140,15.23762,Fabp7,
Hes6,55927,15.300345,Hes6,
Nomo1,211548,20.2843,Nomo1,
Abcg2,26357,15.560326,Abcg2,
Shfm1,20422,15.273976,Sem1,
0610009D07Rik,66055,21.084198,Sf3b6,
Naa20,67877,14.7289295,Naa20,
Hdac6,15185,14.508842,Hdac6,
Yipf3,28064,14.769229,Yipf3,
Sp3,20687,14.594637,Sp3,
Zfpl1,81909,14.991911,Zfpl1,
Chrna4,11438,15.295001,Chrna4,
Taf5,226182,14.241234,Taf5,
Psma4,26441,14.760362,Psma4,
Psma1,26440,14.77101,Psma1,
Osbpl11,106326,14.964741,Osbpl11,
Ptar1,72351,14.760362,Ptar1,
Ntng1,80883,15.15364,Ntng1,
Mars,216443,14.145614,Mars1,
Casp8ap2,26885,14.713493,Casp8ap2,
Gstp2,14869,22.813986,Gstp2,
Tox4,268741,15.690949,Tox4,
Crnkl1,66877,14.746298,Crnkl1,
Steap3,68428,14.853782,Steap3,
Gpr45,93690,15.004646,Gpr45,
Tsen15,66637,14.694873,Tsen15,
Xpo1,103573,15.129937,Xpo1,
Ascc3,77987,14.778158,Ascc3,
Yars2,70120,14.774578,Yars2,
Cebpb,12608,14.888425,Cebpb,
Txndc16,70561,14.755068,Txndc16,
Bag1,12017,14.765675,Bag1,
Taf2,319944,14.220066,Taf2,
Samd8,67630,14.942185,Samd8,
Rfk,54391,14.353864,Rfk,
Bcan,12032,14.870989,Bcan,
Dok4,114255,14.876775,Dok4,
Klhl25,207952,15.321943,Klhl25,
Ripk2,192656,15.026153,Ripk2,
Ift57,73916,14.248366,Ift57,
Det1,76375,14.706692,Det1,
Rnf38,73469,14.8825865,Rnf38,
Nup88,19069,14.751554,Nup88,
Dazap1,70248,14.751554,Dazap1,
Sp4,20688,14.737585,Sp4,
Dpagt1,13478,14.763902,Dpagt1,
Sars2,71984,14.853782,Sars2,
2310003H01Rik,71885,21.084198,Faap100,
Slc35f3,210027,15.341144,Slc35f3,
Utp6,216987,14.627729,Utp6,
Sorbs3,20410,14.851885,Sorbs3,
Stxbp1,20910,15.465738,Stxbp1,
Heatr3,234549,14.769229,Heatr3,
Rnh1,107702,14.803489,Rnh1,
Adamts1,23794,18.48137,Adamts1,
Kat2a,14534,14.688169,Kat2a,
Gtf2f1,98053,14.96061,Gtf2f1,
Cep350,74081,14.748047,Cep350,
Wscd1,216881,15.308403,Wscd1,
Espn,56226,14.853782,Espn,
Gapdh,14433,14.720332,Gapdh,
Nudt2,66401,14.772793,Nudt2,
Polr3c,74414,14.35128,Polr3c,
Foxred1,235169,14.820039,Foxred1,
Ap2a2,11772,15.240174,Ap2a2,
Slc35e3,215436,14.805318,Slc35e3,
Ndst1,15531,15.263388,Ndst1,
Stk38l,232533,15.088334,Stk38l,
Stx5a,56389,16.257523,Stx5a,
Cnn3,71994,15.260789,Cnn3,
Pdha1,18597,15.338383,Pdha1,
Matn2,17181,15.141735,Matn2,
Slc25a16,73132,14.785345,Slc25a16,
Psmb2,26445,14.755068,Psmb2,
Pkib,18768,14.876775,Pkib,
Tbk1,56480,14.808982,Tbk1,
Pom121,107939,15.73135,Pom121,
Fam103a1,67148,14.421245,Ramac,
Sf3b3,101943,14.248366,Sf3b3,
Utp23,78581,14.710089,Utp23,
Mtpap,67440,14.490044,Mtpap,
Letm1,56384,14.278517,Letm1,
Ppapdc1a,381925,16.462479,Plpp4,
Slu7,193116,14.190087,Slu7,
Xkr8,381560,15.292336,Xkr8,
Slc25a42,73095,14.818189,Slc25a42,
Trappc4,60409,14.76213,Trappc4,
Fam149a,212326,15.113599,Fam149a,
Wdr44,72404,14.788954,Wdr44,
Ypel2,77864,15.363438,Ypel2,
Mrpl51,66493,14.238865,Mrpl51,
Ndrg1,17988,15.305711,Ndrg1,
Tardbp,230908,15.2224,Tardbp,
Ints2,70422,14.280959,Ints2,
Pde4a,18577,15.074756,Pde4a,
Clpb,20480,13.174243,Clpb,
Sdr39u1,654795,14.749799,Sdr39u1,
Ccdc88a,108686,15.146484,Ccdc88a,
Gpx3,14778,14.778158,Gpx3,
Prpf6,68879,14.706692,Prpf6,
Yaf2,67057,14.755068,Yaf2,
Polrmt,216151,14.767451,Polrmt,
Stk3,320795,17.522753,Stk3,
Prpf8,192159,14.676516,Prpf8,
Toe1,68276,14.774578,Toe1,
Ubtd2,327900,14.77101,Ubtd2,
Surf6,20935,14.330798,Surf6,
Fam43a,224093,14.833056,Fam43a,
Zfp438,240186,20.721714,Zfp438,
Uvrag,78610,14.288315,Uvrag,
Mycbp2,105689,14.763902,Mycbp2,
Cables1,63955,14.785345,Cables1,
Ppp4r4,74521,14.805318,Ppp4r4,
Prkcsh,19089,15.000388,Prkcsh,
Pnpt1,71701,15.026153,Pnpt1,
Ralgds,19730,15.09061,Ralgds,
Tcf12,21406,14.76213,Tcf12,
Mbd3,17192,15.341144,Mbd3,
Rere,68703,15.300345,Rere,
Mrps21,66292,14.342279,Mrps21,
Sdc4,20971,14.772793,Sdc4,
Pogk,71592,16.032206,Pogk,
Zfp36l2,12193,14.880647,Zfp36l2,
Ddx46,212880,14.723763,Ddx46,
Als2,74018,14.661687,Als2,
Tet3,194388,14.82189,Tet3,
