sgRNA,counts
Slc41a2_-_83337788.23-P1P2,1096
Stambpl1_-_34192288.23-P1P2,1096
Col9a3_-_180598266.23-P1P2,1095
Med20_+_47611592.23-P1P2,1093
Trim17_-_58954750.23-P1P2,1093
Usp49_+_47611592.23-P1P2,1093
Hist3h2a_-_58954750.23-P1P2,1093
Ubox5_+_130629958.23-P1P2,1092
Fastkd5_+_130629958.23-P1P2,1092
Cfl2_+_54862737.23-P1P2,1091
Daam2_+_49564197.23-P1P2,1089
Pdk3_+_93832107.23-P1P2,1088
Ascc1_+_60002866.23-P1P2,1088
Anapc16_+_60002866.23-P1P2,1088
Dctn5_+_122133243.23-P1P2,1087
Plk1_+_122133243.23-P2,1087
Sdr39u1_+_55900188.23-P1P2,1087
Tcte2_-_13760992.23-P1P2,1086
Mllt4_-_13760992.23-P1P2,1086
Arl3_+_46573123.23-P1P2,1085
Zmynd8_+_165858147.23-P2,1084
Senp6_+_80066963.23-P1P2,1084
Fkrp_+_16816402.23-P1P2,1083
Strn4_+_16816402.23-P1P2,1083
Slc41a2_+_83337758.23-P1P2,1080
Srr_+_74925641.23-P1P2,1080
Trim17_-_58954744.23-P1P2,1079
Hist3h2a_-_58954744.23-P1P2,1079
Mbtps2_+_157598616.23-P1P2,1078
Yy2_+_157598616.23-P2,1078
Sh3bp2_+_34525866.23-P1,1077
Gramd3_-_56432237.23-P1P2,1077
Otub2_+_103388720.23-P1P2,1075
Atp9b_+_80934003.23-P1P2,1074
Pdk3_-_93832134.23-P1P2,1074
Phpt1_+_25574835.23-P1P2,1074
Mamdc4_+_25574835.23-P2,1074
Lig3_+_82781212.23-P1P2,1073
Sh2d5_-_138250522.23-P1P2,1073
Kif17_-_138250522.23-P1P2,1073
Pcnxl2_+_125898274.23-P1P2,1073
Syngr2_+_117809729.23-P1P2,1072
Afmid_+_117809729.23-P1,1072
Slc6a7_+_61013962.23-P1P2,1072
Ankrd26_-_118562171.23-P1P2,1071
Ptgds_+_25469133.23-P1P2,1069
Sipa1l2_+_125492646.23-ENSMUST00000108775.1,1069
Cdhr1_-_37098212.23-P1P2,1066
Sntb2_+_106935799.23-P1P2,1065
Rnasek_-_70239749.23-P1P2,1064
0610010K14Rik_-_70239749.23-P1,1064
Rbm14_-_4811600.23-P1P2,1062
Rbm4_-_4811600.23-P1P2,1062
Ctbp2_+_133123139.23-P1P2,1061
Cfl1_+_5490471.23-P1P2,1061
Btg1_-_96617067.23-P1P2,1060
BC048403_-_121739953.23-P1P2,1060
Mrps6_+_92058388.23-P1P2,1057
Slc5a3_+_92058388.23-P1P2,1057
Npdc1_-_25403199.23-P1P2,1057
Ubox5_+_130629955.23-P1P2,1056
Ovca2_-_75190478.23-P1,1056
Dph1_-_75190478.23-P1P2,1056
Ggnbp1_-_26973239.23-P1,1056
Zbtb9_-_26973239.23-P1P2,1056
Fastkd5_+_130629955.23-P1P2,1056
Gnb4_+_32616495.23-P1P2,1055
Slain1_-_103650250.23-P1P2,1054
Wars2_-_99141162.23-P1P2,1054
Rragb_+_153140033.23-P1P2,1052
Kif17_-_138250499.23-P1P2,1052
Sh2d5_-_138250499.23-P1P2,1052
Adnp_+_168230337.23-P1,1050
Dpm1_+_168230337.23-P1P2,1050
Ddx20_-_105687395.23-P1P2,1046
Ryr1_+_29125111.23-P1P2,1044
Trh_+_92244634.23-P1P2,1042
Cxadr_-_78301751.23-P1P2,1041
Grk4_-_34660493.23-P1P2,1040
Nop14_-_34660493.23-P1P2,1040
Egr4_+_85513525.23-P1P2,1039
2310045N01Rik_-_70139738.23-P1P2,1039
Slc38a6_-_73286954.23-P1P2,1039
Mef2b_-_70139738.23-P1P2,1039
Reps2_+_162643540.23-P1P2,1038
1600014C10Rik_-_38183947.23-P1P2,1037
Tubb2a_-_34077987.23-P1P2,1035
Ctnnd1_+_84650547.23-P1P2,1034
Col4a5_+_141475590.23-P1P2,1033
Csde1_+_103020609.23-P1P2,1032
Samd4b_-_28598107.23-P1P2,1032
Pak4_-_28598107.23-P1P2,1032
Phpt1_+_25574832.23-P1P2,1029
Mamdc4_+_25574832.23-P2,1029
Zfp566_+_30090445.23-P1P2,1028
Zfp82_+_30090445.23-P1P2,1028
Btf3l4_-_108833556.23-P1P2,1027
Glod4_-_76243645.23-P1P2,1026
Nudt16_-_105131745.23-P1P2,1026
Gemin4_-_76243645.23-P2,1026
Ppp2r2d_+_138846466.23-P1P2,1025
Ccdc130_+_84270319.23-P1P2,1024
Slc38a3_+_107668951.23-P2,1023
Cxadr_+_78301733.23-P1P2,1023
Reep2_-_34840736.23-P1P2,1021
Cr1l_+_195131500.23-P1P2,1021
Slc35b1_+_95384955.23-P1P2,1020
Gm3448_-_15009628.23-P2,1019
Foxp2_+_14901471.23-P1P2,1019
Gm3448_-_15040996.23-P1,1019
Angel2_+_190928623.23-P1P2,1017
Mbtps2_-_157598410.23-P1P2,1016
Yy2_-_157598410.23-P2,1016
Nanp_-_151039391.23-P1P2,1016
Ninl_-_151039391.23-P1,1016
Cyfip2_+_46311946.23-P1P2,1016
Zfp566_+_30090473.23-P1P2,1015
Gm2a_+_55098121.23-P1P2,1015
Zfp82_+_30090473.23-P1P2,1015
Myl9_+_156775513.23-P1P2,1015
Syngr2_-_117809738.23-P1P2,1014
Pla2g4b_-_120027530.23-P1,1014
Afmid_-_117809738.23-P1,1014
Jmjd7_-_120027530.23-P1,1014
Pex14_+_149099810.23-P1P2,1013
Dph1_+_75190409.23-P1P2,1011
Ovca2_+_75190409.23-P1,1011
Cdkn2c_+_109665211.23-P2,1011
Intu_-_40541014.23-P1P2,1011
Caml_+_55623053.23-P1P2,1009
Naa10_-_73921644.23-P1P2,1009
Pla2g4b_+_120033514.23-P2,1009
Jmjd7_+_120033514.23-P2,1009
Ddx49_-_70302364.23-P1P2,1009
Arhgap4_-_73921644.23-P1P2,1009
"Oxr1_+_41789693.23-ENSMUST00000090095.5,ENSMUST00000022918.7",1008
Nsun6_+_15049311.23-P1,1005
Parp1_+_180568970.23-P1P2,1004
Mrto4_+_139352522.23-P1P2,1004
Sp2_-_96968647.23-P2,1004
Adat3_+_80602957.23-P1P2,1004
Cxcl12_+_117168605.23-P1P2,1004
Scamp4_+_80602957.23-P1P2,1004
1700029J07Rik_+_45975054.23-P1P2,1002
Il4i1_-_44816410.23-P1P2,1002
Nup62_-_44816410.23-P1P2,1002
Prickle1_+_93595878.23-P1,1002
Pdzrn3_-_101377970.23-P1P2,1001
Arl3_+_46572936.23-P1P2,1001
Rnasek_-_70239753.23-P1P2,1000
Scamp4_-_80602968.23-P1P2,1000
0610010K14Rik_-_70239753.23-P1,1000
Apba1_-_23758908.23-P1P2,1000
Adat3_-_80602968.23-P1P2,1000
Slc3a2_-_8723193.23-P2,1000
Snx10_+_51524002.23-P1,998
Nudt19_-_35555853.23-P1P2,996
Dctn5_-_122133048.23-P1P2,996
Plk1_-_122133048.23-P2,996
Cdkn2c_-_109665237.23-P2,996
Rbm12_-_156111876.23-P1P2,995
Cpne1_-_156111876.23-P1P2,995
Pla2g4b_-_120027566.23-P1,995
Jmjd7_-_120027566.23-P1,995
Rpl35_-_39005090.23-P1P2,993
Sh3yl1_-_30911755.23-P1P2,993
Nrxn2_-_6427905.23-ENSMUST00000137166.1,993
Caln1_+_130448641.23-ENSMUST00000111288.2,992
Ergic1_+_26561795.23-P1P2,991
Cndp2_+_84681830.23-P1,991
3830406C13Rik_-_12284303.23-P1P2,991
Rsl1d1_-_11203229.23-P1P2,990
Col2a1_+_98004628.23-P1P2,990
Ssr1_-_37994130.23-P1P2,989
2210408I21Rik_-_77135301.23-P1P2,989
Ankrd32_-_77135301.23-P1P2,989
Cdyl2_+_116733252.23-P1P2,989
